Series Name,Series Code,countryName,Country Code,YR1990,YR2000,YR2005,YR2006,YR2007,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],year2013,YR2014
"Population, total",SP.POP.TOTL,Madagascar,MDG,11545782,15744811,18290394,18826126,19371023,19926785,20495695,21079532,21678934,22293914,22924851,
"Population, total",SP.POP.TOTL,Malawi,MWI,9447123,11321496,12924746,13307535,13713758,14138207,14573338,15013694,15457531,15906483,16362567,
"Population, total",SP.POP.TOTL,Malaysia,MYS,18211097,23420751,25843466,26327098,26813819,27302348,27790324,28275835,28758968,29239927,29716965,
"Population, total",SP.POP.TOTL,Maldives,MDV,215859,272745,297576,302825,308239,313843,319660,325694,331964,338442,345023,
"Population, total",SP.POP.TOTL,Mali,MLI,7964066,10260577,11941258,12325545,12725629,13138299,13559296,13985961,14416737,14853572,15301650,
"Population, total",SP.POP.TOTL,Malta,MLT,354170,381363,403834,405308,406724,409379,412477,414508,416268,419455,423374,
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,47300,52161,52058,52084,52150,52245,52341,52428,52495,52555,52634,
"Population, total",SP.POP.TOTL,Mauritania,MRT,2024163,2708095,3146164,3237713,3330037,3422901,3516077,3609420,3702763,3796141,3889880,
"Population, total",SP.POP.TOTL,Mauritius,MUS,1058775,1186873,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,
"Population, total",SP.POP.TOTL,Mexico,MEX,86077004,103873607,110731826,112116694,113529819,114968039,116422752,117886404,119361233,120847477,122332399,
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,96331,107430,106198,105686,105097,104498,103983,103619,103424,103395,103549,
"Population, total",SP.POP.TOTL,Moldova,MDA,3696000,3639592,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3558566,
"Population, total",SP.POP.TOTL,Monaco,MCO,29438,32081,33808,34369,35013,35686,36314,36845,37261,37579,37831,
"Population, total",SP.POP.TOTL,Mongolia,MNG,2184159,2397473,2526502,2559496,2595068,2632834,2672223,2712738,2754209,2796484,2839073,
"Population, total",SP.POP.TOTL,Montenegro,MNE,614601,611196,615820,616854,617800,618649,619408,620078,620644,621081,621383,
"Population, total",SP.POP.TOTL,Morocco,MAR,24674974,28710123,30125445,30395097,30667086,30955151,31276564,31642360,32059424,32521143,33008150,
"Population, total",SP.POP.TOTL,Mozambique,MOZ,13567959,18275618,21010376,21587317,22171404,22762525,23361025,23967265,24581367,25203395,25833752,
"Population, total",SP.POP.TOTL,Myanmar,MMR,42123003,48453000,50181020,50500070,50828959,51174018,51540490,51931231,52350763,52797319,53259018,
"Population, total",SP.POP.TOTL,Namibia,NAM,1415447,1897953,2027026,2052931,2080700,2110791,2143498,2178967,2217618,2259393,2303315,
"Population, total",SP.POP.TOTL,Nepal,NPL,18111200,23184177,25292058,25634043,25950022,26249412,26544943,26846016,27156367,27474377,27797457,
"Population, total",SP.POP.TOTL,Netherlands,NLD,14951510,15925513,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,
"Population, total",SP.POP.TOTL,New Caledonia,NCL,170899,213230,231779,235314,238902,242546,246245,250000,254000,258000,262000,
"Population, total",SP.POP.TOTL,New Zealand,NZL,3329800,3857700,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,
